timestamp,plate_number,vehicle_type,cross_count,reverse_count
2024-04-28 09:45:01,ฮม5219,van,3,10
2024-04-28 09:45:01,ฮน5219,tuktuk,0,0
2024-04-28 09:55:01,สก4735,tuktuk,0,0
2024-04-28 09:55:01,สก4735,tuktuk,2,0
2024-04-28 09:55:01,สก4735,tuktuk,3,0
2024-04-28 10:00:01,สก4735,tuktuk,2,6
2024-04-28 10:00:01,สก4735,tuktuk,2,0
2024-04-28 10:10:01,ฮธ7448,pickup,0,3
2024-04-28 10:25:01,ฮพ7855,pickup,0,2
2024-04-28 10:40:01,333307,other,6,0
2024-04-28 10:40:01,333307,other,0,4
2024-04-28 10:45:01,333307,other,0,0
2024-04-28 10:45:01,333307,other,2,0
2024-04-28 10:45:01,333307,other,0,0
2024-04-28 10:50:01,333307,other,0,0
2024-04-28 11:10:01,337806,pickup,0,0
2024-04-28 11:10:01,ฮฮ9951,van,2,0
2024-04-28 11:15:01,ฮฮ5951,van,0,3
2024-04-28 11:15:01,ฮฮ5951,pickup,2,0
2024-04-28 11:15:01,ฮฮ5951,pickup,0,0
2024-04-28 11:15:01,ฮฮ5951,van,0,0
2024-04-28 11:15:01,ฮฮ5951,van,0,0
2024-04-28 11:20:01,ฮฮ5951,van,0,0
2024-04-28 11:25:01,ฮฮ5951,pickup,0,0
2024-04-28 11:25:01,ฮฮ5951,pickup,0,3
2024-04-28 11:30:01,ฮย3802,van,3,0
2024-04-28 11:35:01,ฮย3802,van,0,0
2024-04-28 11:45:01,ฮย3802,van,0,0
2024-04-28 11:45:01,ฮย3802,van,0,0
2024-04-28 11:45:01,ฮย3802,van,0,0
2024-04-28 11:45:01,ฮย3802,suv,4,4
2024-04-28 11:50:01,ฮย3802,bus,0,0
2024-04-28 11:50:01,ฮย3802,bus,0,0
2024-04-28 11:50:01,ฮย3802,suv,0,0
2024-04-28 11:50:01,ฮย3802,suv,0,0
2024-04-28 11:50:01,ฮย3802,van,2,4
2024-04-28 11:55:02,ฮย3802,pickup,0,0
2024-04-28 11:55:02,ฮย3802,van,0,0
2024-04-28 11:55:02,ฮย3802,suv,0,0
2024-04-28 11:55:02,ฮย3802,van,0,0
2024-04-28 11:55:02,ฮย3802,van,0,0
2024-04-28 12:00:01,ฮย3802,van,0,0
2024-04-28 12:00:01,ฮย3802,suv,0,0
2024-04-28 12:25:01,338858,bus,0,0
2024-04-28 12:25:01,338858,bus,5,0
2024-04-28 12:25:01,338858,bus,0,0
2024-04-28 12:30:01,338858,bus,0,0
2024-04-28 12:30:01,338858,bus,0,0
2024-04-28 12:50:01,333307,motorbike,2,4
2024-04-28 12:55:01,333307,bus,0,0
2024-04-28 12:55:01,333307,bus,0,0
2024-04-28 12:55:01,333307,bus,0,0
2024-04-28 12:55:01,33307,other,0,0
2024-04-28 12:55:01,333307,bus,0,0
2024-04-28 13:00:01,333507,bus,0,0
2024-04-28 13:00:01,333307,motorbike,0,2
2024-04-28 02:25:01,327722,pickup,3,0
2024-04-28 03:05:01,งก4470,sedan,4,3
2024-04-28 03:55:01,ฮภ8979,pickup,3,0
2024-04-28 04:35:01,321697,bus,17,3
2024-04-28 04:35:01,341697,suv,0,0
2024-04-28 04:50:01,339792,van,0,3
2024-04-28 05:05:01,333115,sedan,0,0
2024-04-28 05:05:01,333115,sedan,0,0
2024-04-28 05:05:01,333115,sedan,0,0
