timestamp,plate_number,vehicle_type,cross_count,reverse_count
2024-04-29 13:40:01,3กก2451,sedan,0,0
2024-04-29 13:45:01,,motorbike,0,0
2024-04-29 13:45:01,105200,pickup,0,0
2024-04-29 13:45:01,กฉ357,taxi,1,0
2024-04-29 13:45:01,102225,pickup,0,0
2024-04-29 13:45:01,2กณ6519,pickup,0,0
2024-04-29 13:45:01,บจ1244,taxi,0,0
2024-04-29 13:45:01,3275,taxi,0,0
2024-04-29 13:45:01,302440,taxi,0,0
2024-04-29 13:45:01,กก4505,pickup,0,0
2024-04-29 13:45:01,1กค1077,tuktuk,0,0
2024-04-29 13:45:01,ส03081,taxi,0,0
2024-04-29 13:45:01,ขษ5742,pickup,2,0
2024-04-29 13:45:01,1กก2556,taxi,0,0
2024-04-29 13:55:01,,pickup,0,0
2024-04-29 13:55:01,302145,taxi,0,0
2024-04-29 13:55:01,1ว3152,taxi,0,0
2024-04-29 13:55:01,106048,suv,3,2
2024-04-29 13:55:01,7ก06825,sedan,1,0
2024-04-29 14:05:01,สง4940,bus,0,0
2024-04-29 14:10:01,ทธ111,truck,0,1
2024-04-29 14:10:01,3ฎ338,pickup,0,0
2024-04-29 14:10:01,12015,taxi,0,0
2024-04-29 14:10:01,ทฬ2350,sedan,0,0
2024-04-29 14:10:01,,taxi,0,0
2024-04-29 14:10:01,32257,taxi,1,0
2024-04-29 14:10:01,บฉ701,pickup,0,1
2024-04-29 14:15:01,302510,sedan,1,1
2024-04-29 14:15:01,,taxi,0,0
2024-04-29 14:15:01,1มฉ389,sedan,0,0
2024-04-29 14:25:01,ฆข1145,pickup,0,0
2024-04-29 14:25:01,สฬ1005,sedan,0,0
2024-04-29 14:25:01,,sedan,1,2
2024-04-29 14:30:01,1ข1135,taxi,0,0
2024-04-29 14:30:01,ก3422,sedan,0,0
2024-04-29 14:30:01,1มร5030,taxi,0,1
2024-04-29 14:30:01,กก6130,sedan,2,0
2024-04-29 14:40:01,300222,sedan,0,0
2024-04-29 14:40:01,กน5120,sedan,0,0
2024-04-29 14:45:01,,truck,1,1
2024-04-29 14:55:01,ทส5083,taxi,6,9
2024-04-29 14:55:01,มศ3525,taxi,0,0
2024-04-29 14:55:01,ทส645,sedan,0,0
2024-04-29 15:00:01,,sedan,0,0
2024-04-29 15:00:01,กก560,taxi,0,0
2024-04-29 15:10:01,301,taxi,0,0
2024-04-29 15:10:01,กร2272,hatchback,1,1
2024-04-29 15:10:01,,sedan,0,0
2024-04-29 15:10:01,,pickup,2,0
2024-04-29 15:10:01,302006,taxi,3,1
2024-04-29 15:10:01,,motorbike,0,0
2024-04-29 15:10:01,กพ107,sedan,0,0
2024-04-29 15:15:01,,truck,0,0
2024-04-29 15:15:01,,sedan,0,0
2024-04-29 15:15:01,1ก2020,pickup,0,0
2024-04-29 15:15:01,ฌฐ2460,suv,0,0
2024-04-29 15:15:01,,motorbike,0,0
2024-04-29 15:25:01,300372,taxi,0,0
2024-04-29 15:30:01,ก4555,pickup,0,0
2024-04-29 15:30:01,,taxi,0,0
2024-04-29 15:30:01,5กพ6,bus,0,0
2024-04-29 16:00:01,,motorbike,0,0
2024-04-29 16:45:01,กร2456,sedan,0,0
2024-04-29 16:55:01,,motorbike,0,0
2024-04-29 02:05:01,บษ4425,pickup,0,1
2024-04-29 02:10:01,,,0,1
2024-04-29 02:25:01,,,0,0
2024-04-29 02:30:01,,,0,0
2024-04-29 02:45:01,2กช2606,sedan,0,0
2024-04-29 02:50:01,ทฬ709,pickup,3,0
2024-04-29 02:55:02,1มก3392,pickup,1,0
2024-04-29 02:55:02,ฎษ589,pickup,2,0
2024-04-29 03:05:01,1มฆ1193,taxi,4,0
2024-04-29 03:15:01,339833,pickup,5,2
2024-04-29 03:20:01,,tuktuk,0,0
2024-04-29 03:30:01,335937,pickup,0,0
2024-04-29 03:50:01,1นก5298,pickup,0,0
2024-04-29 03:55:01,,,1,0
2024-04-29 04:10:01,ฮง6151,suv,0,0
2024-04-29 04:40:01,,,5,3
2024-04-29 04:55:01,,pickup,8,6
2024-04-29 05:15:01,,,3,2
2024-04-29 05:45:01,,pickup,8,1
2024-04-29 05:45:01,,other,0,0
2024-04-29 05:45:01,,other,0,0
2024-04-29 05:55:01,,other,1,1
2024-04-29 06:30:01,,sedan,1,0
2024-04-29 06:40:01,325167,pickup,22,2
2024-04-29 06:45:01,315234,sedan,6,2
2024-04-29 06:40:01,,bus,0,0
2024-04-29 07:00:01,สก5815,tuktuk,1,0
2024-04-29 07:10:01,333915,pickup,0,0
2024-04-29 07:15:01,,,0,0
2024-04-29 07:25:02,314720,motorbike,0,0
2024-04-29 07:25:02,กง4530,other,0,0
2024-04-29 07:30:01,341631,pickup,11,2
2024-04-29 07:30:01,,motorbike,0,0
2024-04-29 07:40:01,345351,other,0,0
2024-04-29 07:40:01,1มก3812,truck,2,2
2024-04-29 07:45:01,1นก355,pickup,0,0
2024-04-29 07:45:01,สก323,motorbike,0,0
2024-04-29 07:50:01,,,0,2
2024-04-29 07:50:01,,,1,1
2024-04-29 07:50:01,,,0,0
2024-04-29 07:55:01,320211,pickup,0,0
2024-04-29 07:55:01,,motorbike,0,0
2024-04-29 08:10:01,344280,pickup,14,4
2024-04-29 08:15:01,341354,bus,2,5
2024-04-29 08:15:01,345251,pickup,0,1
2024-04-29 08:40:01,332185,van,7,3
2024-04-29 08:45:01,,,0,0
2024-04-29 08:45:01,,,0,0
2024-04-29 08:45:01,,,0,0
2024-04-29 08:55:01,,truck,0,0
2024-04-29 08:55:01,,pickup,3,1
2024-04-29 09:10:01,,motorbike,0,0
2024-04-29 09:10:01,สก1157,motorbike,0,0
2024-04-29 09:15:01,321406,pickup,2,12
2024-04-29 09:25:01,4กง217,pickup,0,0
2024-04-29 09:25:01,ขท3660,van,0,0
2024-04-29 09:45:02,1นจ6479,pickup,0,0
2024-04-29 10:15:01,341520,bus,10,2
2024-04-29 10:20:01,339050,pickup,49,32
2024-04-29 10:30:01,สธ531,motorbike,0,0
2024-04-29 10:40:01,,truck,2,14
2024-04-29 10:45:01,ฐก4108,truck,3,0
2024-04-29 10:45:01,,motorbike,0,2
2024-04-29 10:50:01,1นค8151,pickup,3,0
2024-04-29 10:50:01,,motorbike,0,0
2024-04-29 10:50:01,สก1568,motorbike,0,0
2024-04-29 10:55:02,สก5839,bus,3,1
2024-04-29 10:55:02,สก547,truck,0,0
2024-04-29 11:10:01,สฐ596,motorbike,0,0
2024-04-29 11:15:01,30372,motorbike,0,2
2024-04-29 11:25:01,9กผ4057,hatchback,2,0
2024-04-29 11:35:01,1มก9013,bus,0,0
2024-04-29 11:35:01,,other,0,0
2024-04-29 11:40:01,,pickup,0,0
2024-04-29 11:40:01,,tuktuk,0,0
2024-04-29 11:55:01,339050,bus,2,5
2024-04-29 11:55:01,,motorbike,0,0
2024-04-29 12:00:01,,motorbike,0,1
2024-04-29 12:00:01,,bus,0,0
2024-04-29 12:05:01,,bus,0,0
2024-04-29 12:10:01,,bus,0,0
2024-04-29 12:10:01,,bus,0,0
2024-04-29 12:25:01,,pickup,0,0
2024-04-29 12:30:01,338441,pickup,3,1
2024-04-29 12:55:01,30312,other,7,4
2024-04-29 12:55:01,สก6848,tuktuk,0,0
2024-04-29 13:05:01,333115,bus,1,0
2024-04-29 13:15:01,,motorbike,0,0
2024-04-29 13:55:01,,motorbike,0,0
2024-04-29 13:55:01,7กก9320,van,0,1
2024-04-29 14:30:01,ทห5758,pickup,0,0
2024-04-29 16:45:01,,pickup,0,0
2024-04-29 16:55:01,,motorbike,1,0
2024-04-29 02:10:01,5กก9770,pickup,0,0
2024-04-29 02:35:01,สก180,motorbike,0,0
2024-04-29 02:50:01,ทฬ709,pickup,3,1
2024-04-29 02:50:01,1มก3392,taxi,0,0
2024-04-29 02:55:02,ฎษ589,pickup,1,0
2024-04-29 03:15:01,339835,pickup,2,1
2024-04-29 03:30:01,335937,van,0,2
2024-04-29 03:50:01,,,22,2
2024-04-29 03:55:01,ทห1490,taxi,0,0
2024-04-29 04:10:01,ฮง6151,van,1,0
2024-04-29 04:30:01,,,0,0
2024-04-29 04:35:01,360080,pickup,4,2
2024-04-29 04:55:01,339833,pickup,10,5
2024-04-29 04:40:01,,,2,1
2024-04-29 05:00:01,,pickup,0,0
2024-04-29 05:10:01,สก4166,bus,0,0
2024-04-29 05:15:01,329727,pickup,8,1
2024-04-29 05:25:01,สก1284,tuktuk,1,0
2024-04-29 05:40:01,สก2394,tuktuk,1,0
2024-04-29 05:40:01,สก2394,tuktuk,0,0
2024-04-29 05:45:01,ฮภ7006,pickup,8,0
2024-04-29 05:45:01,1นจ4052,pickup,0,2
