timestamp_precise,plate_number,vehicle_type,cross_count,reverse_count
2024-07-01 13:47:44.394,2กจ2385,truck,0,0
2024-07-01 13:48:34.860,4กก2225,pickup,0,0
2024-07-01 13:56:27.855,ฆค3451,sedan,0,1
2024-07-01 13:56:36.973,ฮษ3822,sedan,0,0
2024-07-01 13:58:41.098,3ย35,taxi,0,0
2024-07-01 13:59:54.677,ข3222,sedan,0,0
2024-07-01 14:00:05.438,ทฬ1126,sedan,0,0
2024-07-01 14:01:04.022,1กค7455,taxi,0,0
2024-07-01 14:01:10.180,1ร2672,taxi,1,0
2024-07-01 14:01:27.415,3ก6522,taxi,0,0
2024-07-01 14:02:02.086,1ฒศ8136,taxi,0,0
2024-07-01 14:03:09.707,กค1755,taxi,0,0
2024-07-01 14:04:42.800,บง4791,taxi,0,2
2024-07-01 14:05:03.279,ทก4071,tuktuk,1,0
2024-07-01 14:05:33.871,332391,taxi,1,0
2024-07-01 14:06:19.258,กศ3052,pickup,0,0
2024-07-01 14:07:58.510,3ก2275,sedan,0,0
2024-07-01 14:08:06.268,ท39,taxi,0,0
2024-07-01 14:08:36.260,มก3311,taxi,0,0
2024-07-01 14:09:13.250,3ก2400,other,2,5
2024-07-01 14:10:42.748,ทก5455,taxi,0,0
2024-07-01 14:11:01.743,1มก777,taxi,0,1
2024-07-01 14:11:34.614,ทฬ6225,sedan,0,0
2024-07-01 14:13:23.223,ก5942,taxi,1,2
2024-07-01 14:14:55.797,3ศ3323,taxi,0,0
2024-07-01 14:15:23.155,1มค7737,taxi,0,0
2024-07-01 14:18:34.980,ก8305,sedan,0,0
2024-07-01 14:22:56.950,303025,taxi,0,0
2024-07-01 14:23:33.580,3ศ9072,sedan,0,0
2024-07-01 14:23:44.097,3ก4206,taxi,0,0
2024-07-01 14:23:57.453,32022,taxi,0,0
2024-07-01 14:29:53.318,1มค3321,taxi,0,0
2024-07-01 14:30:01.519,ทศ5594,sedan,0,0
2024-07-01 14:34:39.441,1ก7235,taxi,2,1
2024-07-01 14:37:17.122,2ก7584,taxi,0,0
2024-07-01 14:39:21.567,1มฎ8461,taxi,0,0
2024-07-01 14:39:32.684,ทษ2186,taxi,0,0
2024-07-01 14:45:42.388,ส9799,taxi,0,2
2024-07-01 14:49:29.764,7ก4115,sedan,0,5
2024-07-01 14:52:12.803,302325,taxi,1,2
2024-07-01 14:52:17.441,337220,taxi,0,0
2024-07-01 14:52:20.920,ส6471,taxi,0,0
2024-07-01 14:52:26.919,ก128,taxi,0,0
2024-07-01 14:53:38.779,301155,sedan,0,0
2024-07-01 14:55:59.504,มธ1227,taxi,0,1
2024-07-01 14:56:15.620,ทศ2958,sedan,0,0
2024-07-01 15:02:04.365,1074,taxi,0,0
2024-07-01 15:02:41.954,1มค9663,taxi,0,0
2024-07-01 15:11:50.369,กก2405,taxi,0,0
2024-07-01 15:14:57.917,302401,taxi,0,0
2024-07-01 15:20:59.624,8ก2222,taxi,0,0
2024-07-01 15:21:24.737,103072,taxi,0,0
2024-07-01 15:21:55.489,2ฒผ4512,pickup,0,0
2024-07-01 15:34:20.328,กกพ5017,pickup,0,3
2024-07-01 15:38:32.101,บม8225,taxi,0,0
2024-07-01 15:38:58.453,302570,taxi,0,0
2024-07-01 15:39:07.571,30210,pickup,0,0
2024-07-01 15:39:45.840,1ง4020,pickup,0,0
2024-07-01 15:39:52.558,308452,hatchback,0,0
2024-07-02 02:06:33.134,8ก8801,sedan,0,0
2024-07-02 02:09:33.804,34476,pickup,0,0
2024-07-02 02:13:10.587,1ต1238,pickup,0,0
2024-07-02 02:15:33.991,7ฒฮ1141,pickup,0,0
2024-07-02 02:16:42.132,1มร6111,taxi,0,0
2024-07-02 02:19:24.006,4จ5554,pickup,0,0
2024-07-02 02:22:47.993,1ฒผ5151,pickup,0,0
2024-07-02 02:22:56.671,ทฬ6144,taxi,0,0
2024-07-02 02:29:21.687,1จ9223,sedan,0,1
2024-07-02 02:33:59.293,1กศ4854,pickup,0,0
2024-07-02 02:34:07.650,1ศ357,pickup,0,0
2024-07-02 02:40:33.271,12353,motorbike,0,0
2024-07-02 02:43:10.347,3ฒธ7,pickup,0,0
2024-07-02 02:44:48.320,กพ3229,pickup,0,0
2024-07-02 02:47:46.356,4ขฉ8555,suv,0,0
2024-07-02 02:50:03.999,1มษ6555,pickup,0,0
2024-07-02 02:50:08.278,131112,pickup,0,0
2024-07-02 02:51:31.854,3ผ2955,sedan,0,0
2024-07-02 02:51:45.251,1กฐ701,pickup,0,0
2024-07-02 02:51:52.729,ทส6096,sedan,0,0
2024-07-02 02:52:45.714,ก3794,pickup,0,0
2024-07-02 02:54:18.448,ฮ1652,pickup,0,0
2024-07-02 02:55:38.149,ง4752,motorbike,0,0
2024-07-02 02:56:57.727,1มศ2291,taxi,0,0
2024-07-02 02:58:41.458,ส5460,truck,0,0
2024-07-02 02:58:53.934,ฮษ2532,van,3,0
2024-07-02 03:00:21.514,ก227,sedan,0,0
2024-07-02 03:02:17.722,12752,taxi,0,0
2024-07-02 03:05:14.878,ส7772,taxi,0,0
2024-07-02 03:06:29.376,มมร5219,taxi,0,0
2024-07-02 03:07:09.964,10628,pickup,0,0
2024-07-02 03:08:25.703,2กภ5935,sedan,0,0
